Date,City,Country,Status,AQI_Value
10/1/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,132.0
10/2/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,103.0
10/3/2022,Jakarta,Indonesia,Moderate,80.0
10/4/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,118.0
10/5/2022,Jakarta,Indonesia,Moderate,98.0
10/6/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,106.0
10/7/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,118.0
10/8/2022,Jakarta,Indonesia,Moderate,99.0
10/9/2022,Jakarta,Indonesia,Moderate,79.0
10/10/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,119.0
10/11/2022,Jakarta,Indonesia,Moderate,100.0
10/12/2022,Jakarta,Indonesia,Unhealthy,151.0
10/13/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,142.0
10/14/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,123.0
10/15/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,107.0
10/16/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,118.0
10/17/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,129.0
10/18/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,126.0
10/19/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,134.0
10/20/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,135.0
10/21/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,125.0
10/22/2022,Jakarta,Indonesia,Moderate,86.0
10/23/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,111.0
10/24/2022,Jakarta,Indonesia,Moderate,87.0
10/25/2022,Jakarta,Indonesia,Moderate,62.0
10/26/2022,Jakarta,Indonesia,Moderate,83.0
10/27/2022,Jakarta,Indonesia,Moderate,68.0
10/28/2022,Jakarta,Indonesia,Moderate,98.0
10/29/2022,Jakarta,Indonesia,Moderate,94.0
10/30/2022,Jakarta,Indonesia,Moderate,99.0
10/31/2022,Jakarta,Indonesia,Moderate,91.0
11/1/2022,Jakarta,Indonesia,Moderate,97.0
11/2/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,127.0
11/3/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,127.0
11/4/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,114.0
11/5/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,137.0
11/6/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,123.0
11/7/2022,Jakarta,Indonesia,Moderate,91.0
11/8/2022,Jakarta,Indonesia,Moderate,100.0
